X1,mod_agency,maj_agency_cat,vendor_name,street_address,city,state,zipcode,maj_fund_agency_cat,contracting_office_agency_id,dollars_obligated,description_of_contract_requirement,vendor_cd,place_of_performance_city,pop_state_code,place_of_performance_congressional_district,product_or_service_code,unique_transaction_id,vLocation,popLocation,beltway,vlon,vlat,plon,plat,beltwayMetro,gcBeltFund,gcMetroBeltFund,majAgency
11364,1700: DEPT OF THE NAVY,9700: Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,2000 W NASA BLVD,MELBOURNE,FL,32904,9700: Department of Defense,1700: DEPT OF THE NAVY,36869875,SPLT MAX INCENTIVE FUNDING AND INCREMENTAL FUNDING,NA,BETHPAGE,NY,NY03,"1510: AIRCRAFT, FIXED WING",cab8917391cb405c8f2ecf77f708ce03,"MELBOURNE, FL","BETHPAGE, NY",notInBeltway,-80.6081089,28.0836269,-73.4820687,40.7442664,notInBeltway,0,0,Department of Defense
11939,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,532882508,THE PURPOSE OF THIS MODIFICATION IS TO REVISE FUNDING ON THE LRIP 9 UCA AIRCRAFT CLINS.,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",c86feedf4d9642ff87b767e774241ae9,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
12265,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,160731e3,"C-130J, FMS INDIA, INCREASING PROGRESS PAYMENT RATE",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",a674080c02974a78a4be2ac79dd73814,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
12906,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,1899410911,"ACAT I, C-130J, FULLY FUNDED FY16 AIRCRAFT AND VARIANTS",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",04e6ec44960547f1b469e62c93190886,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
13316,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,106e6,"ACAT I, C-130J, FY16 ADVANCE PROCUREMENT OF FY17 AIRCRAFT",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",0c2a90392ade43449c653b8cfbe5cada,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
14246,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,473352085,LRIP 11 AAC,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",04fe1699f35c4a339d930854ad75a6ec,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
14247,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,441166e3,LRIP 11 AAC,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",65679ecc589e44048e76f4d036f0e287,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
14618,1700: DEPT OF THE NAVY,9700: Department of Defense,GULFSTREAM AEROSPACE CORPORATION (GEORGIA),500 GULFSTREAM RD,SAVANNAH,GA,31408,9700: Department of Defense,1700: DEPT OF THE NAVY,919e5,GULFSTREAM G550 AEW AIRCRAFT,NA,SAVANNAH,GA,GA01,"1510: AIRCRAFT, FIXED WING",ce28529da52e4de0bdc69e9d49f1d882,"SAVANNAH, GA","SAVANNAH, GA",notInBeltway,-81.0998342,32.0835407,-81.0998342,32.0835407,notInBeltway,0,0,Department of Defense
15116,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,SIERRA NEVADA CORPORATION,444 SALOMON CIR,SPARKS,NV,89434,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,33546988,ACAT III BIG SAFARI NSAV AC 19-20 PROCUREMENT,NA,SPARKS,NV,NV02,"1510: AIRCRAFT, FIXED WING",85e497b8af3d4db08e260b924000f86c,"SPARKS, NV","SPARKS, NV",notInBeltway,-119.7526886,39.5349112,-119.7526886,39.5349112,notInBeltway,0,0,Department of Defense
15925,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,7000: Department of Homeland Security,5700: DEPT OF THE AIR FORCE,61295562,"ACAT I, C130J, MYPC II, EXERCISE USCG OPTION CLIN 5002",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",7a7a732b73b1417185495f492453192d,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Homeland Security
16049,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,93432646.57,AME/PFE/RED GEAR UCA,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",91c079c4169c49d8ad6bf94f08e3fb97,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
18515,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,96129115,IGF::OT::IGF,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",0c34dc67e226437a8938ba7b328e49cf,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
18809,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,3582e4,"ACAT I, F-22, INCREMENTAL FUNDING CLIN 0201",NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",c050c73525a84e5292aec267edb3e2b2,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
19336,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,98384172,FMS ISRAEL C-130J FUNDING AIRCRAFT #5-6,NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",a1d2cf48b6794193ab9ff1ec8953f831,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
19661,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,612e5,TAIWAN F-16 A/B BLOCK 20 RETROFIT PROGRAM,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",5b936244a27c42cc8d976a44cf6a9aa0,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
19684,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,32778727,ECP2787- DEFINITIZATION OF UCA,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",b9e45a547d3649c1a3264ec0780995cf,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
19700,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,SIERRA NEVADA CORPORATION,124 MIRACLE STRIP PKWY STE 503,MARY ESTHER,FL,32569,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,84525e3,LEBANON 6 AIRCRAFT PROCUREMENT,NA,MARY ESTHER,FL,FL01,"1510: AIRCRAFT, FIXED WING",f45f15d86c274350a09670ab0a2b96aa,"MARY ESTHER, FL","MARY ESTHER, FL",notInBeltway,-86.6630098,30.4099215,-86.6630098,30.4099215,notInBeltway,0,0,Department of Defense
19704,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,54589431,TAIWAN F-16 A/B BLOCK 20 RETROFIT PROGRAM,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",62ad70d96f37416881e9a89c877b8f35,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
20513,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,11335e4,"C-130J, FMS INDIA, ADDITIONAL FUNDING FOR UCA",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",82a9a02d38ef49d9b3e0389721c888d4,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
20964,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,3119e5,UCA FOR FY16 AIRCRAFT THAT WERE ADDED IN PRESIDENT'S BUDGET FOR FY-16 AND IN THE 2016 CONSOLIDATED APPROPRIATIONS ACT,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",2845446bbea745d4926bd5e2dd8db4fa,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
22435,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,101573142.61,INCREMENTALLY FUND N00019-15-C-0114,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",aedac3b380fc4f2cb256749e40dfa685,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
23869,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,600 HICKS RD,ROLLING MEADOWS,IL,60008,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,52086777,MAY 2016 UPGRADE ORDER,NA,ROLLING MEADOWS,IL,IL08,"1510: AIRCRAFT, FIXED WING",0107c311ee854df59ee5f235ee6acd2c,"ROLLING MEADOWS, IL","ROLLING MEADOWS, IL",notInBeltway,-88.0131275,42.0841936,-88.0131275,42.0841936,notInBeltway,0,0,Department of Defense
24042,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,738e5,LRIP 12 XLL FUNDING FOR JAPAN,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",a3c88941ec5644b2b1ebd6aa1925c39f,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
