majAgency,desc,pTotal,attribute
Government Accountability Office,D316: IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,3055213.97,product
Government Accountability Office,"D318: IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",24826247.1,product
Government Accountability Office,D399: IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,4628795.4,product
Government Accountability Office,S206: HOUSEKEEPING- GUARD,4292627.25,product
Government Accountability Office,Z1AZ: MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,7526786,product
Millennium Challenge Corporation,B506: SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),1381936,product
Millennium Challenge Corporation,D306: IT AND TELECOM- SYSTEMS ANALYSIS,5679119.8,product
Millennium Challenge Corporation,D399: IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,4807732.41,product
Millennium Challenge Corporation,R415: SUPPORT- PROFESSIONAL: TECHNOLOGY SHARING/UTILIZATION,2035467.7,product
Millennium Challenge Corporation,X1AA: LEASE/RENTAL OF OFFICE BUILDINGS,3831863.23,product
National Aeronautics and Space Administration,AR11: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),951783272.09,product
National Aeronautics and Space Administration,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),535510772,product
National Aeronautics and Space Administration,AR22: R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),1855216518.23,product
National Aeronautics and Space Administration,AR33: R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),992356107.33,product
National Aeronautics and Space Administration,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,794527884.38,product
National Archives and Records Administration,D301: IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,10795473.370000001,product
National Archives and Records Administration,D321: IT AND TELECOM- HELP DESK,11888390.6,product
National Archives and Records Administration,S201: HOUSEKEEPING- CUSTODIAL JANITORIAL,14745054.05,product
National Archives and Records Administration,S206: HOUSEKEEPING- GUARD,14428918.15,product
National Archives and Records Administration,Z2AA: REPAIR OR ALTERATION OF OFFICE BUILDINGS,10211235,product
National Labor Relations Board,7610: BOOKS AND PAMPHLETS,1079455.68,product
National Labor Relations Board,"D318: IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",159e4,product
National Labor Relations Board,D321: IT AND TELECOM- HELP DESK,1191101.86,product
National Labor Relations Board,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,3112950.01,product
National Science Foundation,7110: OFFICE FURNITURE,1e7,product
National Science Foundation,B599: SPECIAL STUDIES/ANALYSIS- OTHER,18527418.45,product
National Science Foundation,"D318: IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",54115748.550000004,product
National Science Foundation,D399: IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,19648076.93,product
National Science Foundation,R499: SUPPORT- PROFESSIONAL: OTHER,32304160.2,product
National Transportation Safety Board,M1BG: OPERATION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,1194693.72,product
National Transportation Safety Board,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,1440625,product
Nuclear Regulatory Commission,7030: INFORMATION TECHNOLOGY SOFTWARE,3475e3,product
Nuclear Regulatory Commission,D311: IT AND TELECOM- DATA CONVERSION,2597e3,product
Nuclear Regulatory Commission,D399: IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,73429801.46,product
Nuclear Regulatory Commission,M1HA: OPERATION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,17504827.240000002,product
Nuclear Regulatory Commission,R710: SUPPORT- MANAGEMENT: FINANCIAL,26e5,product
Office of Personnel Management,D307: IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,36915207.38,product
Office of Personnel Management,D308: IT AND TELECOM- PROGRAMMING,41536380.64,product
Office of Personnel Management,R499: SUPPORT- PROFESSIONAL: OTHER,41914897.480000004,product
Office of Personnel Management,R611: SUPPORT- ADMINISTRATIVE: CREDIT REPORTING,90225008.9,product
Office of Personnel Management,U001: EDUCATION/TRAINING- LECTURES,24502211.18,product
Overseas Private Investment Corporation,D301: IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,1171400,product
Overseas Private Investment Corporation,"D318: IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",2606200,product
Overseas Private Investment Corporation,R499: SUPPORT- PROFESSIONAL: OTHER,3364144,product
Railroad Retirement Board,D302: IT AND TELECOM- SYSTEMS DEVELOPMENT,1257656,product
Railroad Retirement Board,D304: IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,12e5,product
Railroad Retirement Board,"D305: IT AND TELECOM- TELEPROCESSING, TIMESHARE, AND CLOUD COMPUTING",1282171.15,product
Railroad Retirement Board,G007: SOCIAL- GOVERNMENT HEALTH INSURANCE PROGRAMS,18999149.759999998,product
Securities and Exchange Commission,D301: IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,53736017.07,product
Securities and Exchange Commission,D302: IT AND TELECOM- SYSTEMS DEVELOPMENT,43099333.99,product
Securities and Exchange Commission,D307: IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,40311117.43,product
Securities and Exchange Commission,"D318: IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",24681559.63,product
Securities and Exchange Commission,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,54911305.79,product
Small Business Administration,"D318: IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",11612802.23,product
Small Business Administration,D399: IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,6973813.37,product
Small Business Administration,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,9749016.5,product
Small Business Administration,R611: SUPPORT- ADMINISTRATIVE: CREDIT REPORTING,19976453.35,product
Small Business Administration,R704: SUPPORT- MANAGEMENT: AUDITING,5756736.13,product
Smithsonian Institution,C1JA: ARCHITECT AND ENGINEERING- CONSTRUCTION: MUSEUMS AND EXHIBITION BUILDINGS,16750814.49,product
Smithsonian Institution,R499: SUPPORT- PROFESSIONAL: OTHER,6795e3,product
Smithsonian Institution,S112: UTILITIES- ELECTRIC,1419e4,product
Smithsonian Institution,S206: HOUSEKEEPING- GUARD,139e5,product
Smithsonian Institution,Y1JA: CONSTRUCTION OF MUSEUMS AND EXHIBITION BUILDINGS,38089021.05,product
Social Security Administration,7030: INFORMATION TECHNOLOGY SOFTWARE,233707192.65,product
Social Security Administration,7035: INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,36207261.31,product
Social Security Administration,7050: INFORMATION TECHNOLOGY COMPONENTS,46062734.51,product
Social Security Administration,B599: SPECIAL STUDIES/ANALYSIS- OTHER,73337152,product
Social Security Administration,D399: IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,395043028.42,product
The Judicial Branch,"6350: MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",3489281.31,product
The Judicial Branch,"J063: MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",2958203.63,product
The Judicial Branch,"N063: INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",4112915.14,product
The Judicial Branch,S206: HOUSEKEEPING- GUARD,263539826.08,product
The Judicial Branch,Y1AA: CONSTRUCTION OF OFFICE BUILDINGS,4893620,product
U.S. Agency for International Development,"6515: MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",81066959,product
U.S. Agency for International Development,R421: TECHNICAL ASSISTANCE,125656298.19,product
U.S. Agency for International Development,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,676643871.06,product
U.S. Agency for International Development,R499: SUPPORT- PROFESSIONAL: OTHER,410538343.69,product
U.S. Agency for International Development,R707: SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,108204730.67999999,product
U.S. International Trade Commission,D302: IT AND TELECOM- SYSTEMS DEVELOPMENT,2680936,product
U.S. International Trade Commission,D319: IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS,1868895,product
U.S. International Trade Commission,D321: IT AND TELECOM- HELP DESK,2245011.18,product
United States Soldiers' and Airmen's Home,S201: HOUSEKEEPING- CUSTODIAL JANITORIAL,2622893.1799999997,product
United States Soldiers' and Airmen's Home,S203: HOUSEKEEPING- FOOD,5666487.5,product
United States Soldiers' and Airmen's Home,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,4787500.01,product
,"AMERICAN CANYON SOLUTIONS, INC.",113063222.28999999,vendor
,"COMPREHENSIVE HEALTH SERVICES, INC.",119204021.24,vendor
,DANYA INTERNATIONAL INC.,39445017,vendor
,"ICF INCORPORATED, L.L.C.",69453238.95,vendor
,"SOUTHWEST KEY PROGRAMS, INC.",36759898,vendor
Broadcasting Board of Governors,"AKAMAI TECHNOLOGIES, INC.",3436620,vendor
Broadcasting Board of Governors,EUTELSAT AMERICA CORP.,5944584.36,vendor
Broadcasting Board of Governors,GLOBECAST AMERICA INCORPORATED,4306333.08,vendor
Broadcasting Board of Governors,"HA DESIGN GROUP, L.L.C.",3680927.09,vendor
Broadcasting Board of Governors,TECHNOLOGIST INC.,7697040.46,vendor
Commodity Futures Trading Commission,CACI INC-COMMERCIAL,1823415,vendor
Commodity Futures Trading Commission,CATAPULT TECHNOLOGY LTD,8667306.53,vendor
Commodity Futures Trading Commission,NORTHROP GRUMMAN INFORMATION TECHNOLOGY GLOBAL CORPORATION,2305e3,vendor
Commodity Futures Trading Commission,PHASE ONE CONSULTING GROUP INCORPORATED,3282e3,vendor
Commodity Futures Trading Commission,"THUNDERCAT TECHNOLOGY, LLC",4858035.31,vendor
Consumer Financial Protection Bureau,DELOITTE CONSULTING LLP,11117291.52,vendor
Consumer Financial Protection Bureau,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",15189906.95,vendor
Consumer Financial Protection Bureau,GMMB INC.,14043018.23,vendor
Consumer Financial Protection Bureau,"GRUNLEY CONSTRUCTION CO., INC.",13285009.9,vendor
Consumer Financial Protection Bureau,"VANGENT, INC.",16398964,vendor
Consumer Product Safety Commission,ARMEDIA LIMITED LIABILITY COMPANY,1414391.8,vendor
Consumer Product Safety Commission,"DAN SOLUTIONS, INC",2086455.97,vendor
Consumer Product Safety Commission,"TTW SOLUTIONS, INC.",1535702.4,vendor
Corporation for National and Community Service,CONVERGYS CORPORATION,3546592,vendor
Corporation for National and Community Service,"INTERNATIONAL MEDICAL GROUP, INC",1817643,vendor
Corporation for National and Community Service,"JBS INTERNATIONAL, INC.",3738482.42,vendor
Corporation for National and Community Service,"PLANNED SYSTEMS INTERNATIONAL,",5851251.65,vendor
Corporation for National and Community Service,"SRA INTERNATIONAL, INC.",4505243.04,vendor
Court Services and Offender Supervision Agency for the District of Columbia,"COALITION FOR THE HOMELESS INC, THE",1261291.5,vendor
Court Services and Offender Supervision Agency for the District of Columbia,"PHOENIX HOUSES OF THE MID-ATLANTIC, INC.",2139386.4,vendor
Court Services and Offender Supervision Agency for the District of Columbia,SAFE HAVEN OUTREACH MINISTRY INC,1368288,vendor
Defense Nuclear Facilities Safety Board,"AGIL3 TECHNOLOGY SOLUTIONS, LLC",1257409.6,vendor
Defense Nuclear Facilities Safety Board,"ARSERVICES, LIMITED",1150538.4,vendor
Department of Agriculture,"CARGILL, INCORPORATED",98229450.5,vendor
Department of Agriculture,CHS INC.,88357658.2,vendor
Department of Agriculture,"JENNIE-O TURKEY STORE, INC",106094256.8,vendor
Department of Agriculture,SENECA FOODS CORPORATION,63631149.28,vendor
Department of Agriculture,"TYSON FOODS, INC.",97940898.62,vendor
Department of Commerce,EXELIS INC.,146658e3,vendor
Department of Commerce,HARRIS CORPORATION,198953020,vendor
Department of Commerce,LOCKHEED MARTIN CORPORATION,33235e4,vendor
Department of Commerce,RAYTHEON COMPANY,300377066.48,vendor
Department of Commerce,REED TECHNOLOGY AND INFORMATION SERVICES INC.,161203056.53,vendor
Department of Defense,"BOEING COMPANY, THE",12937392589.72,vendor
Department of Defense,LOCKHEED MARTIN CORPORATION,32785684210.15,vendor
Department of Defense,NORTHROP GRUMMAN SYSTEMS CORPORATION,8091852098.68,vendor
Department of Defense,RAYTHEON COMPANY,10513842518.55,vendor
Department of Defense,THE BOEING COMPANY,8879238825.48,vendor
Department of Education,ACCENTURE FEDERAL SERVICES LLC,156272506,vendor
Department of Education,"GREAT LAKES EDUCATIONAL LOAN SERVICES, INC.",228504e3,vendor
Department of Education,"HIGHER EDUCATION ASSISTANCE AGENCY, PA",201210613.38,vendor
Department of Education,NAVIENT CORPORATION,9883e4,vendor
Department of Education,"NELNET SERVICING, LLC",146482809.1,vendor
Department of Energy,CONSOLIDATED NUCLEAR SECURITY LLC,2404870709.42,vendor
Department of Energy,LAWRENCE LIVERMORE NATIONAL SECURITY LIMITED LIABILITY COMPANY,1366673861.85,vendor
Department of Energy,LOS ALAMOS NATIONAL SECURITY LIMITED LIABILITY COMPANY,2125708277.2099998,vendor
