X1,mod_agency,maj_agency_cat,vendor_name,street_address,city,state,zipcode,maj_fund_agency_cat,contracting_office_agency_id,dollars_obligated,description_of_contract_requirement,vendor_cd,place_of_performance_city,pop_state_code,place_of_performance_congressional_district,product_or_service_code,unique_transaction_id,vLocation,popLocation,beltway,vlon,vlat,plon,plat,beltwayMetro,gcBeltFund,gcMetroBeltFund,majAgency
8179,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,22398869,NAVY AVIATION - BOEING CY16 ARF ORDER,NA,SAINT LOUIS,MO,MO01,1680: MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ff25a631df664361bef5ce8b45d1134b,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
8448,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",900 N SEPULVEDA BLVD,EL SEGUNDO,CA,90245,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,20143907.03,IGF::OT::IGF SPACE BASED SPACE SURVEILLANCE - INCREMENTAL FUNDING,NA,EL SEGUNDO,CA,CA33,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,775e0a7a32ed4f6eaefec5079d8a966d,"EL SEGUNDO, CA","EL SEGUNDO, CA",notInBeltway,-118.4164652,33.9191799,-118.4164652,33.9191799,notInBeltway,0,0,Department of Defense
10075,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,2741839935.78,F-15SA CONTRACT DEFINITIZATION,NA,SAINT LOUIS,MO,MO01,"1510: AIRCRAFT, FIXED WING",58aee0984a114824963ec5ae0e10a876,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
10433,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,3e7,ACAT I: F-15 EPAWSS TMRR INCREMENTAL FUNDING,NA,SAINT LOUIS,MO,MO01,"5865: ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",f1a6b7cb36284ff4a52c26379d334841,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
10513,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",5301 BOLSA AVE,HUNTINGTON BEACH,CA,92647,9700: Department of Defense,1700: DEPT OF THE NAVY,20827010,FY15 US FLEET TECHNICAL SUPPORT IGF::CT::IGF,NA,HUNTINGTON BEACH,CA,CA48,J014: MAINT/REPAIR/REBUILD OF EQUIPMENT- GUIDED MISSILES,1f7f533c71964a0dae853fe181f5e006,"HUNTINGTON BEACH, CA","HUNTINGTON BEACH, CA",notInBeltway,-117.9988026,33.6594835,-117.9988026,33.6594835,notInBeltway,0,0,Department of Defense
10965,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,22820568,F/A-18 H12 SCS/OFP TDL-5,NA,SAINT LOUIS,MO,MO01,6930: OPERATION TRAINING DEVICES,7931d755b1fc484f9d243b970a611992,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
12988,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",900 N SEPULVEDA BLVD,EL SEGUNDO,CA,90245,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,2302e4,CLIN 0016 NCREMENTAL FUNDING,NA,EL SEGUNDO,CA,CA33,AC25: R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT),005699144ab84801af33152181ed5eb1,"EL SEGUNDO, CA","EL SEGUNDO, CA",notInBeltway,-118.4164652,33.9191799,-118.4164652,33.9191799,notInBeltway,0,0,Department of Defense
14080,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,160552598,DEFINITIZATION MOD,NA,MESA,AZ,AZ05,"1520: AIRCRAFT, ROTARY WING",323665c256d6493d8f66edccb148383a,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
14226,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,325688749,JOINT DIRECT ATTACK MUNITION (JDAM) 1325-01-642-XXXX LOT 20 DELIVERY ORDER AWARD,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,e3040b1754bf47c3bac5829fe542e744,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
15007,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,20282700,JOINT DIRECT ATTACK MUNITION (JDAM) GUIDANCE SETS 1325-01-526-XXXX 1325-01-632-XXXX DEFINITIZE DELIVERY ORDER 0001 (LOT 18).,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,3f19f0ba259148c6a309640916e2457c,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
15010,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,41487786.14,JOINT DIRECT ATTACK MUNITION (JDAM) GUIDANCE SETS 1325-01-526-XXXX 1325-01-632-XXXX DEFINITIZE DELIVERY ORDER 0001 (LOT 18).,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,a254d6f88dfb4ed9bc2c89c83bef207b,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
15081,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 J S MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,34398802.8,QF-16 FULL SCALE AERIAL TARGET (FSAT),NA,SAINT LOUIS,MO,MO01,1550: UNMANNED AIRCRAFT,a71b0370f7ad495f94e22cd824849c81,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
15283,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,35665542,"ACAT I: F-15 EPAWSS TMRR INCREMENTAL FUNDING, ADD GFP CLAUSE",NA,SAINT LOUIS,MO,MO01,"5865: ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",88ac70f14cec42f2a7fd07473415de51,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
15640,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 J S MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,27761364.2,IGF::OT::IGF OPT,NA,SAINT LOUIS,MO,MO01,6635: PHYSICAL PROPERTIES TESTING AND INSPECTION,a39b3b5823ea415fad007573d1bd8bfd,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
16113,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,20621959.2,JOINT DIRECT ATTACK MUNITION (JDAM) GUIDANCE SETS 1325-01-526-XXXX 1325-01-632-XXXX INCREASE OBLIGATED AMOUNT FROM 65% TO 75% OF THE NTE.,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,55bf3dbdf7504b6c8f6ac77c95836855,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
16138,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,273197251.65,JOINT DIRECT ATTACK MUNITION (JDAM) 1325-01-642-XXXX DEFINITIZATION OF LOT 19 DELIVERY ORDER,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,41d59bdb7c204c08893f3d7717296627,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
16603,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,18493e4,"W58RGZ-16-C-0023 IS FOR THE AWARD OF ADVANCE PROCUREMENT IN THE AMOUNT OF $184,930,000.00 TO SUPPORT LOT 7 FULL RATE PRODUCTION LONG LEAD ITEMS.",NA,MESA,AZ,AZ05,"5342: HARDWARE, WEAPON SYSTEM",7951990925a44b92b28eeb05b5206127,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
16994,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,199e5,PRELIMINARY WORK FOR NGJ INTEGRATION IGF::OT::IGF,NA,SAINT LOUIS,MO,MO01,AC14: R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),8f67e4a6feb2433cbfd52e9b4f28d6a2,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
17072,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,20784849.76,IGF::OT::IGF RADAR ENTERPRISE,NA,SAINT LOUIS,MO,MO01,J016: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,6d14975d6f854d95ab72bd0d839ad110,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
17305,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,19482634,JOINT DIRECT ATTACK MUNITION (JDAM) GUIDANCE SETS 1325-01-526-XXXX 1325-01-632-XXXX INCREASE OBLIGATED AMOUNT.,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,18faec382e454961a51ef8611dda819b,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
18399,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,40765985,JOINT DIRECT ATTACK MUNITION LOT 19 FOREIGN MILITARY SALES ORDER TOTAL DEFINITIZATION,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,e3e7135350614a95b7131384376df570,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
18793,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,27582210,DSU-38A/B PRECISION LASER GUIDANCE SET,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,6e5d8393e67d4a0ba183aa5894ad0370,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
19758,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,276515205,F-15; ACAT II: RMP/V3 COMBINED RADAR BUY FY15,NA,SAINT LOUIS,MO,MO01,1680: MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,a9ee6e0e56b042a4bbf60c0c5eaf6440,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
20575,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",ROUTE 291 & STEWART AVE,RIDLEY PARK,PA,19078,9700: Department of Defense,2100: DEPT OF THE ARMY,43884665.03,CHANGE DODAAC AND ADD CLAUSE 252.204-7012,NA,RIDLEY PARK,PA,PA01,1560: AIRFRAME STRUCTURAL COMPONENTS,d510d8857e144ece8c70b1d8194ae725,"RIDLEY PARK, PA","RIDLEY PARK, PA",notInBeltway,-75.3237993,39.8812236,-75.3237993,39.8812236,notInBeltway,0,0,Department of Defense
21375,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,79144269,IGF::CL::IGF,NA,MESA,AZ,AZ05,"1520: AIRCRAFT, ROTARY WING",8470868753fc48e7a74fb5cebd585a3c,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
21376,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,945277550,"THE US ARMY IS ACQUIRING A TOTAL OF 117 REMANUFACTURED AH-64E APACHE HELICOPTERS UNDER FULL RATE PRODUCTION, LOTS 5 AND 6. ALSO INCLUDES THE UPGRADE OF 3 LONGBOW CREW TRAINERS (LCT), OBSOLESCENCE, INTEGRATED LOGISTICS SUPPORT (ILS), PECULIAR GROUND SUPPORT EQUIPMENT (PGSE),INITIAL SPARES, OVER AND ABOVE (O&A) AND ENGINEERING STUDIES.",NA,MESA,AZ,AZ05,"1520: AIRCRAFT, ROTARY WING",fdcccc3b090e4fc48a6c08a86b30bbd3,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
21377,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,2158e4,IGF::CL::IGF,NA,MESA,AZ,AZ05,"1520: AIRCRAFT, ROTARY WING",dbe2212e11cc4886a2f76a61a0ae43eb,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
21402,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,3e7,IGF::CL::IGF,NA,MESA,AZ,AZ05,"1520: AIRCRAFT, ROTARY WING",a5d34ee4b3134a46bf6c3cecffd4ead5,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
21694,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6001 S AIR DEPOT BLVD,OKLAHOMA CITY,OK,73135,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,55836414.8,INTEGRATED BATTLE STATION LOTS 5-7,NA,OKLAHOMA CITY,OK,OK04,1680: MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,5e4b22d1e6b0407aab4c8ba41aa1cb18,"OKLAHOMA CITY, OK","OKLAHOMA CITY, OK",notInBeltway,-97.5164276,35.4675602,-97.5164276,35.4675602,notInBeltway,0,0,Department of Defense
21820,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,20197954,"F-15, ACAT II, EAGLE EYES, ADMINISTRATIVE OBLIGATION",NA,SAINT LOUIS,MO,MO01,1680: MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,0d2248aca9db4c91bfe6db26f4381bef,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
22189,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 E MCDOWELL RD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,134707945,QATAR PRODUCTION FOR 24 AH-64E APACHE HELICOPTERS WITH THALES RADIO,NA,MESA,AZ,AZ05,"1520: AIRCRAFT, ROTARY WING",36f64c515c584c6f98971bcab36e24ab,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
22809,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,24110610,IGF::OT::IGF B61-12 TKA EMD 2 - ADD INCREMENT OF FY16 USAF FUNDS,NA,SAINT LOUIS,MO,MO01,AC55: R&D- DEFENSE SYSTEM: WEAPONS (OPERATIONAL SYSTEMS DEVELOPMENT),c3b699b1f0d147b39ccd77db3adbf221,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
24031,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 EAST MCDOWELL ROAD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,39496743.57,"IGF::OT::IGF; EXECUTE OPTION YEAR ONE FOR THE CONTINUATION OF THE APACHE HELICOPTER 64 (AH-64) PERFORMANCE BASED LOGISTICS (PBL) PROGRAM FOR D-UNIQUE, D/E COMMON, AND E-UNIQUE COMPONENTS, SERVICES, AND SUPPLIES.",NA,MESA,AZ,AZ05,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,3659c75ec38142a5a753f6cc1a15005c,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
24229,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 J S MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,19922565.6,"T-38 AVIONICS POST PRODUCTION SUPPORT, INCLUDING CONTRACTOR OWNED AND MAINTAINED BASE SUPPLY SUPPORT, CONTRACTOR LOGISTICS SUPPORT, AND BLOCK UPGRADES",NA,SAINT LOUIS,MO,MO01,J010: MAINT/REPAIR/REBUILD OF EQUIPMENT- WEAPONS,ed64333a9f54431eb2d013ace55a84c1,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
